Carcass Drop,Site,Flood,Season,Habitat,Species,group_size,event_length
3SD,1,After Flood,Cool,Closed,Corvid,2,15
3SD,1,After Flood,Cool,Closed,Corvid,1,17
3SD,1,After Flood,Cool,Closed,Corvid,1,1
3SD,1,After Flood,Cool,Closed,Corvid,1,0
3SD,1,After Flood,Cool,Closed,Corvid,2,12
3SD,1,After Flood,Cool,Closed,Corvid,2,10
3SD,1,After Flood,Cool,Closed,Corvid,2,11
3SD,1,After Flood,Cool,Closed,Corvid,1,0
3SD,1,After Flood,Cool,Closed,Corvid,2,0
3SD,1,After Flood,Cool,Closed,Corvid,1,11
3SD,1,After Flood,Cool,Closed,Corvid,1,0
3SD,1,After Flood,Cool,Closed,LittleCrow,2,24
3SD,1,After Flood,Cool,Closed,Corvid,2,0
3SD,1,After Flood,Cool,Closed,Corvid,1,0
3SD,1,After Flood,Cool,Closed,Corvid,1,0
3SD,1,After Flood,Cool,Closed,Corvid,1,0
3SD,1,After Flood,Cool,Closed,Corvid,2,0
3SD,1,After Flood,Cool,Closed,Corvid,2,0
3SD,1,After Flood,Cool,Closed,Corvid,1,1
3SD,1,After Flood,Cool,Closed,Corvid,2,0
3SD,1,After Flood,Cool,Closed,Corvid,2,4
3SD,1,After Flood,Cool,Closed,Corvid,2,4
3SD,1,After Flood,Cool,Closed,Corvid,2,2
3SD,1,After Flood,Cool,Closed,Corvid,2,0
3SD,1,After Flood,Cool,Closed,Corvid,2,10
3SD,1,After Flood,Cool,Closed,Corvid,2,0
3SD,1,After Flood,Cool,Closed,Corvid,2,12
3SD,1,After Flood,Cool,Closed,Corvid,2,10
3SD,1,After Flood,Cool,Closed,Corvid,2,0
3SD,1,After Flood,Cool,Closed,Corvid,1,0
3SD,1,After Flood,Cool,Closed,Corvid,2,10
3SD,1,After Flood,Cool,Closed,Corvid,2,0
3SD,1,After Flood,Cool,Closed,Corvid,6,19
3SD,1,After Flood,Cool,Closed,Corvid,2,23
3SD,1,After Flood,Cool,Closed,Corvid,3,3
3SD,1,After Flood,Cool,Closed,Corvid,1,12
3SD,1,After Flood,Cool,Closed,Corvid,1,2
3SD,1,After Flood,Cool,Closed,Corvid,4,19
3SD,1,After Flood,Cool,Closed,Corvid,4,7
3SD,1,After Flood,Cool,Closed,Corvid,2,3
3SD,1,After Flood,Cool,Closed,Corvid,1,4
3SD,1,After Flood,Cool,Closed,Corvid,1,13
3SD,1,After Flood,Cool,Closed,Corvid,2,5
3SD,1,After Flood,Cool,Closed,Corvid,1,0
3SD,1,After Flood,Cool,Closed,Corvid,2,19
3SD,1,After Flood,Cool,Closed,Corvid,2,9
3SD,1,After Flood,Cool,Closed,LittleCrow,2,28
3SD,1,After Flood,Cool,Closed,Corvid,2,29
3SD,1,After Flood,Cool,Closed,Corvid,2,32
3SD,1,After Flood,Cool,Closed,Corvid,2,0
3SD,1,After Flood,Cool,Closed,Corvid,1,0
3SD,1,After Flood,Cool,Closed,Corvid,2,18
3SD,1,After Flood,Cool,Closed,Corvid,2,24
3SD,1,After Flood,Cool,Closed,Corvid,2,3
3SD,1,After Flood,Cool,Closed,Corvid,1,1
3SD,1,After Flood,Cool,Closed,Corvid,2,0
3SD,1,After Flood,Cool,Closed,Corvid,2,6
3SD,1,After Flood,Cool,Closed,Corvid,2,30
3SD,1,After Flood,Cool,Closed,Corvid,2,7
3SD,1,After Flood,Cool,Closed,Corvid,2,0
3SD,1,After Flood,Cool,Closed,Corvid,2,8
3SD,2,After Flood,Cool,Open,Corvid,1,0
3SD,2,After Flood,Cool,Open,Corvid,3,33
3SD,2,After Flood,Cool,Open,Corvid,2,18
3SD,2,After Flood,Cool,Open,Corvid,6,31
3SD,2,After Flood,Cool,Open,Corvid,1,0
3SD,2,After Flood,Cool,Open,Corvid,1,4
3SD,2,After Flood,Cool,Open,Corvid,1,0
3SD,2,After Flood,Cool,Open,Corvid,7,201
3SD,2,After Flood,Cool,Open,Corvid,3,75
3SD,2,After Flood,Cool,Open,Corvid,9,8
3SD,2,After Flood,Cool,Open,Corvid,2,1
3SD,2,After Flood,Cool,Open,Corvid,1,3
3SD,2,After Flood,Cool,Open,Corvid,6,231
3SD,2,After Flood,Cool,Open,Corvid,2,11
3SD,2,After Flood,Cool,Open,Corvid,5,12
3SD,2,After Flood,Cool,Open,Corvid,4,18
3SD,2,After Flood,Cool,Open,Corvid,2,1
3SD,2,After Flood,Cool,Open,Corvid,2,0
3SD,2,After Flood,Cool,Open,Corvid,7,132
3SD,2,After Flood,Cool,Open,Corvid,11,37
3SD,2,After Flood,Cool,Open,Corvid,2,0
3SD,2,After Flood,Cool,Open,Corvid,7,52
3SD,2,After Flood,Cool,Open,Corvid,2,2
3SD,2,After Flood,Cool,Open,Corvid,7,13
3SD,2,After Flood,Cool,Open,Corvid,2,23
3SD,2,After Flood,Cool,Open,Corvid,2,0
3SD,2,After Flood,Cool,Open,Corvid,5,14
3SD,2,After Flood,Cool,Open,Corvid,1,10
3SD,2,After Flood,Cool,Open,Corvid,6,47
3SD,2,After Flood,Cool,Open,Corvid,2,0
3SD,2,After Flood,Cool,Open,Corvid,2,20
3SD,2,After Flood,Cool,Open,Corvid,6,37
3SD,2,After Flood,Cool,Open,Corvid,9,9
3SD,2,After Flood,Cool,Open,Corvid,1,5
3SD,2,After Flood,Cool,Open,Corvid,8,34
3SD,2,After Flood,Cool,Open,Corvid,6,10
3SD,2,After Flood,Cool,Open,Corvid,2,6
3SD,2,After Flood,Cool,Open,Corvid,1,1
3SD,2,After Flood,Cool,Open,Corvid,2,0
3SD,2,After Flood,Cool,Open,Corvid,2,5
3SD,2,After Flood,Cool,Open,Corvid,4,21
3SD,2,After Flood,Cool,Open,Corvid,2,0
3SD,2,After Flood,Cool,Open,Corvid,2,20
3SD,2,After Flood,Cool,Open,LittleCrow,1,0
3SD,2,After Flood,Cool,Open,Corvid,2,2
3SD,2,After Flood,Cool,Open,Corvid,1,0
3SD,2,After Flood,Cool,Open,Corvid,1,6
3SD,2,After Flood,Cool,Open,Corvid,1,0
3SD,2,After Flood,Cool,Open,Corvid,1,7
3SD,2,After Flood,Cool,Open,Corvid,1,0
3SD,2,After Flood,Cool,Open,Corvid,2,2
3SD,2,After Flood,Cool,Open,Corvid,2,20
3SD,2,After Flood,Cool,Open,Corvid,1,0
3SD,2,After Flood,Cool,Open,LittleCrow,2,7
3SD,2,After Flood,Cool,Open,LittleCrow,2,6
3SD,2,After Flood,Cool,Open,LittleCrow,2,54
3SD,2,After Flood,Cool,Open,Corvid,2,1
3SD,2,After Flood,Cool,Open,Corvid,1,0
3SD,2,After Flood,Cool,Open,Corvid,2,14
3SD,2,After Flood,Cool,Open,Corvid,2,5
3SD,2,After Flood,Cool,Open,Corvid,2,13
3SD,2,After Flood,Cool,Open,Corvid,2,4
3SD,2,After Flood,Cool,Open,Corvid,2,7
3SD,2,After Flood,Cool,Open,Corvid,2,14
3SD,2,After Flood,Cool,Open,Corvid,2,8
3SD,2,After Flood,Cool,Open,Corvid,1,0
3SD,2,After Flood,Cool,Open,Corvid,2,14
3SD,2,After Flood,Cool,Open,Corvid,2,14
3SD,2,After Flood,Cool,Open,Corvid,1,0
3SD,2,After Flood,Cool,Open,Corvid,1,1
3SD,2,After Flood,Cool,Open,Corvid,2,23
3SD,2,After Flood,Cool,Open,Corvid,2,12
3SD,2,After Flood,Cool,Open,Corvid,2,0
3SD,2,After Flood,Cool,Open,Corvid,2,3
3SD,2,After Flood,Cool,Open,Corvid,4,3
3SD,2,After Flood,Cool,Open,Corvid,1,6
3SD,2,After Flood,Cool,Open,Corvid,2,8
3SD,2,After Flood,Cool,Open,Corvid,2,7
3SD,2,After Flood,Cool,Open,Corvid,1,13
3SD,2,After Flood,Cool,Open,Corvid,2,3
3SD,2,After Flood,Cool,Open,Corvid,2,4
3SD,2,After Flood,Cool,Open,Corvid,2,10
3SD,2,After Flood,Cool,Open,Corvid,1,0
3SD,2,After Flood,Cool,Open,Corvid,1,0
3SD,2,After Flood,Cool,Open,Corvid,2,1
3SD,2,After Flood,Cool,Open,Corvid,1,0
3SD,2,After Flood,Cool,Open,Corvid,2,4
3SD,2,After Flood,Cool,Open,Corvid,2,5
3SD,2,After Flood,Cool,Open,Corvid,1,2
3SD,2,After Flood,Cool,Open,Corvid,2,11
3SD,2,After Flood,Cool,Open,Corvid,2,2
3SD,2,After Flood,Cool,Open,Corvid,2,7
3SD,2,After Flood,Cool,Open,Corvid,2,29
3SD,2,After Flood,Cool,Open,Corvid,2,5
3SD,2,After Flood,Cool,Open,Corvid,1,0
3SD,2,After Flood,Cool,Open,Corvid,1,3
3SD,2,After Flood,Cool,Open,LittleCrow,2,17
3SD,2,After Flood,Cool,Open,Corvid,2,30
3SD,2,After Flood,Cool,Open,Corvid,2,15
3SD,2,After Flood,Cool,Open,Corvid,2,1
3SD,2,After Flood,Cool,Open,Corvid,2,15
3SD,2,After Flood,Cool,Open,Corvid,2,1
3SD,2,After Flood,Cool,Open,Corvid,2,14
3SD,2,After Flood,Cool,Open,Corvid,2,17
3SD,2,After Flood,Cool,Open,Corvid,2,0
3SD,2,After Flood,Cool,Open,Corvid,1,15
3SD,2,After Flood,Cool,Open,Corvid,2,23
3SD,2,After Flood,Cool,Open,Corvid,2,14
3SD,2,After Flood,Cool,Open,Corvid,2,8
3SD,2,After Flood,Cool,Open,Corvid,2,6
3SD,2,After Flood,Cool,Open,Corvid,2,0
3SD,2,After Flood,Cool,Open,Corvid,1,0
3SD,2,After Flood,Cool,Open,Corvid,1,0
3SD,2,After Flood,Cool,Open,Corvid,1,0
3SD,2,After Flood,Cool,Open,Corvid,1,3
3SD,2,After Flood,Cool,Open,Corvid,1,0
3SD,2,After Flood,Cool,Open,Corvid,1,0
3SD,2,After Flood,Cool,Open,Corvid,1,3
3SD,2,After Flood,Cool,Open,Corvid,2,0
3SD,2,After Flood,Cool,Open,Corvid,2,1
3SD,2,After Flood,Cool,Open,Corvid,1,9
3SD,2,After Flood,Cool,Open,Corvid,2,0
3SD,2,After Flood,Cool,Open,Corvid,2,0
3SD,2,After Flood,Cool,Open,Corvid,1,0
3SD,2,After Flood,Cool,Open,Corvid,2,2
3SD,3,After Flood,Cool,Closed,Corvid,1,12
3SD,3,After Flood,Cool,Closed,Corvid,1,1
3SD,3,After Flood,Cool,Closed,Corvid,1,0
3SD,3,After Flood,Cool,Closed,Corvid,1,0
3SD,3,After Flood,Cool,Closed,Corvid,1,5
3SD,3,After Flood,Cool,Closed,Corvid,1,12
3SD,3,After Flood,Cool,Closed,Corvid,1,0
3SD,3,After Flood,Cool,Closed,Corvid,1,0
3SD,3,After Flood,Cool,Closed,Corvid,3,23
3SD,3,After Flood,Cool,Closed,Corvid,2,3
3SD,3,After Flood,Cool,Closed,Corvid,1,0
3SD,3,After Flood,Cool,Closed,Corvid,1,0
3SD,3,After Flood,Cool,Closed,Corvid,2,0
3SD,3,After Flood,Cool,Closed,Corvid,2,6
3SD,3,After Flood,Cool,Closed,Corvid,2,2
3SD,3,After Flood,Cool,Closed,Corvid,3,17
3SD,3,After Flood,Cool,Closed,Corvid,2,2
3SD,3,After Flood,Cool,Closed,Corvid,1,0
3SD,3,After Flood,Cool,Closed,Corvid,1,4
3SD,3,After Flood,Cool,Closed,Corvid,2,6
3SD,3,After Flood,Cool,Closed,Corvid,1,0
3SD,3,After Flood,Cool,Closed,Corvid,6,1
3SD,3,After Flood,Cool,Closed,LittleCrow,5,6
3SD,3,After Flood,Cool,Closed,Corvid,3,0
3SD,3,After Flood,Cool,Closed,Corvid,6,1
3SD,3,After Flood,Cool,Closed,Corvid,1,0
3SD,3,After Flood,Cool,Closed,Corvid,1,0
3SD,3,After Flood,Cool,Closed,LittleCrow,2,0
3SD,3,After Flood,Cool,Closed,Corvid,2,7
3SD,3,After Flood,Cool,Closed,Corvid,6,10
3SD,3,After Flood,Cool,Closed,Corvid,1,0
3SD,3,After Flood,Cool,Closed,Corvid,1,10
3SD,3,After Flood,Cool,Closed,Corvid,1,1
3SD,3,After Flood,Cool,Closed,Corvid,1,0
3SD,3,After Flood,Cool,Closed,Corvid,3,8
3SD,3,After Flood,Cool,Closed,Corvid,10,8
3SD,3,After Flood,Cool,Closed,Corvid,1,0
3SD,3,After Flood,Cool,Closed,Corvid,10,154
3SD,3,After Flood,Cool,Closed,Corvid,1,4
3SD,3,After Flood,Cool,Closed,Corvid,6,16
3SD,3,After Flood,Cool,Closed,Corvid,1,0
3SD,3,After Flood,Cool,Closed,Corvid,2,0
3SD,3,After Flood,Cool,Closed,Corvid,1,1
3SD,3,After Flood,Cool,Closed,Corvid,2,2
3SD,3,After Flood,Cool,Closed,Corvid,1,0
3SD,3,After Flood,Cool,Closed,Corvid,2,4
3SD,3,After Flood,Cool,Closed,Corvid,2,0
3SD,3,After Flood,Cool,Closed,Corvid,2,0
3SD,3,After Flood,Cool,Closed,Corvid,1,0
3SD,3,After Flood,Cool,Closed,Corvid,2,4
3SD,3,After Flood,Cool,Closed,Corvid,2,2
3SD,3,After Flood,Cool,Closed,Corvid,1,0
3SD,3,After Flood,Cool,Closed,Corvid,1,0
3SD,3,After Flood,Cool,Closed,Corvid,1,0
3SD,3,After Flood,Cool,Closed,Corvid,2,0
3SD,3,After Flood,Cool,Closed,Corvid,1,0
3SD,3,After Flood,Cool,Closed,Corvid,2,10
3SD,3,After Flood,Cool,Closed,Corvid,2,0
3SD,3,After Flood,Cool,Closed,Corvid,2,0
3SD,3,After Flood,Cool,Closed,Corvid,2,5
3SD,3,After Flood,Cool,Closed,Corvid,1,0
3SD,3,After Flood,Cool,Closed,Corvid,2,0
3SD,3,After Flood,Cool,Closed,Corvid,2,0
3SD,3,After Flood,Cool,Closed,Corvid,2,18
3SD,3,After Flood,Cool,Closed,Corvid,2,3
3SD,3,After Flood,Cool,Closed,Corvid,1,2
3SD,3,After Flood,Cool,Closed,Corvid,1,0
3SD,3,After Flood,Cool,Closed,Corvid,2,1
3SD,3,After Flood,Cool,Closed,Corvid,2,6
3SD,3,After Flood,Cool,Closed,Corvid,2,0
3SD,3,After Flood,Cool,Closed,Corvid,2,0
3SD,3,After Flood,Cool,Closed,Corvid,1,3
3SD,3,After Flood,Cool,Closed,Corvid,2,4
3SD,3,After Flood,Cool,Closed,Corvid,1,0
3SD,3,After Flood,Cool,Closed,Corvid,2,9
3SD,3,After Flood,Cool,Closed,Corvid,2,0
3SD,3,After Flood,Cool,Closed,Corvid,2,7
3SD,3,After Flood,Cool,Closed,Corvid,3,0
3SD,3,After Flood,Cool,Closed,Corvid,2,6
3SD,3,After Flood,Cool,Closed,Corvid,1,0
3SD,3,After Flood,Cool,Closed,Corvid,1,0
3SD,4,After Flood,Cool,Open,LittleCrow,7,115
3SD,4,After Flood,Cool,Open,Corvid,6,207
3SD,4,After Flood,Cool,Open,Corvid,6,4
3SD,4,After Flood,Cool,Open,Corvid,1,28
3SD,4,After Flood,Cool,Open,Corvid,1,9
3SD,4,After Flood,Cool,Open,Corvid,1,4
3SD,4,After Flood,Cool,Open,Corvid,2,22
3SD,4,After Flood,Cool,Open,Corvid,4,6
3SD,4,After Flood,Cool,Open,Corvid,4,92
3SD,4,After Flood,Cool,Open,Corvid,3,66
3SD,4,After Flood,Cool,Open,Corvid,3,48
3SD,4,After Flood,Cool,Open,Corvid,5,27
3SD,4,After Flood,Cool,Open,Corvid,2,2
3SD,4,After Flood,Cool,Open,Corvid,4,72
3SD,4,After Flood,Cool,Open,Corvid,1,1
3SD,4,After Flood,Cool,Open,Corvid,2,22
3SD,4,After Flood,Cool,Open,Corvid,1,1
3SD,4,After Flood,Cool,Open,Corvid,1,15
3SD,4,After Flood,Cool,Open,Corvid,2,1
3SD,4,After Flood,Cool,Open,Corvid,3,16
3SD,4,After Flood,Cool,Open,Corvid,1,4
3SD,4,After Flood,Cool,Open,Corvid,5,23
3SD,4,After Flood,Cool,Open,Corvid,1,17
3SD,4,After Flood,Cool,Open,Corvid,3,5
3SD,4,After Flood,Cool,Open,Corvid,7,3
3SD,4,After Flood,Cool,Open,Corvid,3,1
3SD,4,After Flood,Cool,Open,Corvid,1,3
3SD,4,After Flood,Cool,Open,Corvid,1,6
3SD,4,After Flood,Cool,Open,Corvid,1,0
3SD,4,After Flood,Cool,Open,Corvid,2,19
3SD,4,After Flood,Cool,Open,Corvid,1,0
3SD,4,After Flood,Cool,Open,Corvid,2,9
3SD,4,After Flood,Cool,Open,Corvid,6,16
3SD,4,After Flood,Cool,Open,Corvid,1,1
3SD,4,After Flood,Cool,Open,Corvid,5,1
3SD,4,After Flood,Cool,Open,Corvid,2,6
3SD,4,After Flood,Cool,Open,Corvid,1,4
3SD,4,After Flood,Cool,Open,Corvid,2,14
3SD,4,After Flood,Cool,Open,Corvid,11,7
3SD,4,After Flood,Cool,Open,Corvid,2,7
3SD,4,After Flood,Cool,Open,Corvid,2,5
3SD,4,After Flood,Cool,Open,Corvid,1,0
3SD,4,After Flood,Cool,Open,Corvid,2,4
3SD,4,After Flood,Cool,Open,Corvid,2,8
3SD,4,After Flood,Cool,Open,Corvid,1,2
3SD,4,After Flood,Cool,Open,LittleCrow,3,23
3SD,4,After Flood,Cool,Open,Corvid,2,0
3SD,4,After Flood,Cool,Open,Corvid,2,4
3SD,4,After Flood,Cool,Open,Corvid,2,1
3SD,4,After Flood,Cool,Open,Corvid,1,1
3SD,4,After Flood,Cool,Open,Corvid,1,0
3SD,4,After Flood,Cool,Open,Corvid,1,0
3SD,4,After Flood,Cool,Open,Corvid,1,0
3SD,4,After Flood,Cool,Open,Corvid,2,0
3SD,4,After Flood,Cool,Open,Corvid,2,1
3SD,4,After Flood,Cool,Open,Corvid,1,1
3SD,4,After Flood,Cool,Open,Corvid,2,13
3SD,4,After Flood,Cool,Open,Corvid,1,1
3SD,4,After Flood,Cool,Open,Corvid,2,12
3SD,4,After Flood,Cool,Open,Corvid,2,25
3SD,4,After Flood,Cool,Open,Corvid,1,6
3SD,4,After Flood,Cool,Open,Corvid,2,8
3SD,4,After Flood,Cool,Open,Corvid,2,0
3SD,4,After Flood,Cool,Open,Corvid,1,2
3SD,4,After Flood,Cool,Open,Corvid,2,6
3SD,4,After Flood,Cool,Open,Corvid,1,0
3SD,4,After Flood,Cool,Open,Corvid,1,1
3SD,4,After Flood,Cool,Open,LittleCrow,13,39
3SD,4,After Flood,Cool,Open,Corvid,1,0
3SD,4,After Flood,Cool,Open,Corvid,2,1
3SD,4,After Flood,Cool,Open,Corvid,7,5
3SD,4,After Flood,Cool,Open,Corvid,3,16
3SD,4,After Flood,Cool,Open,Corvid,5,6
3SD,4,After Flood,Cool,Open,Corvid,2,6
3SD,4,After Flood,Cool,Open,Corvid,1,6
3SD,4,After Flood,Cool,Open,Corvid,5,11
3SD,4,After Flood,Cool,Open,Corvid,2,0
3SD,4,After Flood,Cool,Open,Corvid,1,0
3SD,4,After Flood,Cool,Open,Corvid,2,1
3SD,4,After Flood,Cool,Open,LittleCrow,3,18
3SD,4,After Flood,Cool,Open,Corvid,4,12
3SD,4,After Flood,Cool,Open,Corvid,2,6
3SD,4,After Flood,Cool,Open,Corvid,1,11
3SD,4,After Flood,Cool,Open,Corvid,1,0
3SD,4,After Flood,Cool,Open,Corvid,1,0
3SD,4,After Flood,Cool,Open,Corvid,1,0
3SD,4,After Flood,Cool,Open,Corvid,2,5
3SD,4,After Flood,Cool,Open,Corvid,2,0
3SD,4,After Flood,Cool,Open,Corvid,2,1
3SD,4,After Flood,Cool,Open,Corvid,2,0
3SD,4,After Flood,Cool,Open,LittleCrow,6,13
3SD,4,After Flood,Cool,Open,Corvid,2,0
3SD,4,After Flood,Cool,Open,Corvid,13,23
3SD,4,After Flood,Cool,Open,Corvid,2,8
3SD,4,After Flood,Cool,Open,Corvid,2,0
3SD,4,After Flood,Cool,Open,Corvid,3,14
3SD,4,After Flood,Cool,Open,Corvid,7,6
3SD,4,After Flood,Cool,Open,Corvid,2,6
3SD,4,After Flood,Cool,Open,Corvid,2,0
3SD,4,After Flood,Cool,Open,Corvid,1,0
3SD,4,After Flood,Cool,Open,Corvid,1,0
3SD,4,After Flood,Cool,Open,Corvid,1,0
3SD,4,After Flood,Cool,Open,Corvid,2,4
3SD,4,After Flood,Cool,Open,Corvid,2,0
3SD,4,After Flood,Cool,Open,Corvid,2,9
3SD,4,After Flood,Cool,Open,LittleCrow,2,4
3SD,4,After Flood,Cool,Open,Corvid,2,0
3SD,4,After Flood,Cool,Open,Corvid,1,3
3SD,4,After Flood,Cool,Open,Corvid,5,21
3SD,4,After Flood,Cool,Open,Corvid,1,0
3SD,4,After Flood,Cool,Open,Corvid,2,0
3SD,4,After Flood,Cool,Open,Corvid,2,5
3SD,4,After Flood,Cool,Open,Corvid,2,1
3SD,4,After Flood,Cool,Open,Corvid,2,1
3SD,4,After Flood,Cool,Open,Corvid,2,0
3SD,4,After Flood,Cool,Open,Corvid,1,0
3SD,4,After Flood,Cool,Open,Corvid,2,0
3SD,4,After Flood,Cool,Open,Corvid,1,6
3SD,4,After Flood,Cool,Open,Corvid,2,2
3SD,4,After Flood,Cool,Open,Corvid,1,1
3SD,4,After Flood,Cool,Open,Corvid,2,9
3SD,4,After Flood,Cool,Open,Corvid,1,0
3SD,4,After Flood,Cool,Open,Corvid,2,1
3SD,4,After Flood,Cool,Open,Corvid,2,0
3SD,4,After Flood,Cool,Open,Corvid,2,0
3SD,4,After Flood,Cool,Open,Corvid,2,3
3SD,4,After Flood,Cool,Open,Corvid,2,0
3SD,4,After Flood,Cool,Open,Corvid,2,1
3SD,4,After Flood,Cool,Open,Corvid,2,12
3SD,4,After Flood,Cool,Open,Corvid,1,0
3SD,4,After Flood,Cool,Open,Corvid,1,0
3SD,4,After Flood,Cool,Open,Corvid,2,11
3SD,4,After Flood,Cool,Open,LittleCrow,2,6
3SD,4,After Flood,Cool,Open,Corvid,2,1
3SD,4,After Flood,Cool,Open,Corvid,2,8
3SD,4,After Flood,Cool,Open,Corvid,2,0
3SD,4,After Flood,Cool,Open,Corvid,2,5
3SD,4,After Flood,Cool,Open,Corvid,2,0
3SD,4,After Flood,Cool,Open,Corvid,1,4
3SD,4,After Flood,Cool,Open,Corvid,2,5
3SD,4,After Flood,Cool,Open,Corvid,3,20
3SD,4,After Flood,Cool,Open,Corvid,2,0
3SD,4,After Flood,Cool,Open,Corvid,2,11
3SD,4,After Flood,Cool,Open,Corvid,2,0
3SD,4,After Flood,Cool,Open,Corvid,3,0
3SD,4,After Flood,Cool,Open,LittleCrow,3,56
3SD,4,After Flood,Cool,Open,Corvid,1,8
3SD,4,After Flood,Cool,Open,Corvid,1,0
3SD,4,After Flood,Cool,Open,Corvid,2,15
3SD,4,After Flood,Cool,Open,Corvid,1,0
3SD,4,After Flood,Cool,Open,Corvid,1,0
3SD,4,After Flood,Cool,Open,Corvid,1,6
3SD,4,After Flood,Cool,Open,Corvid,2,25
3SD,4,After Flood,Cool,Open,Corvid,2,3
3SD,4,After Flood,Cool,Open,Corvid,1,1
3SD,4,After Flood,Cool,Open,Corvid,1,9
3SD,4,After Flood,Cool,Open,Corvid,1,0
3SD,4,After Flood,Cool,Open,Corvid,1,2
3SD,4,After Flood,Cool,Open,Corvid,2,4
3SD,4,After Flood,Cool,Open,LittleCrow,2,10
3SD,4,After Flood,Cool,Open,Corvid,1,0
3SD,4,After Flood,Cool,Open,Corvid,1,0
3SD,4,After Flood,Cool,Open,Corvid,2,6
3SD,4,After Flood,Cool,Open,Corvid,1,0
3SD,5,After Flood,Cool,Closed,Corvid,2,7
3SD,5,After Flood,Cool,Closed,Corvid,3,5
3SD,5,After Flood,Cool,Closed,Corvid,2,13
3SD,5,After Flood,Cool,Closed,Corvid,2,1
3SD,5,After Flood,Cool,Closed,Corvid,2,2
3SD,5,After Flood,Cool,Closed,Corvid,1,4
3SD,5,After Flood,Cool,Closed,Corvid,1,0
3SD,5,After Flood,Cool,Closed,Corvid,2,0
3SD,5,After Flood,Cool,Closed,Corvid,2,41
3SD,5,After Flood,Cool,Closed,Corvid,2,8
3SD,5,After Flood,Cool,Closed,Corvid,2,0
3SD,5,After Flood,Cool,Closed,Corvid,1,0
3SD,5,After Flood,Cool,Closed,Corvid,1,0
3SD,5,After Flood,Cool,Closed,Corvid,2,1
3SD,5,After Flood,Cool,Closed,Corvid,1,7
3SD,5,After Flood,Cool,Closed,Corvid,1,0
3SD,5,After Flood,Cool,Closed,Corvid,2,11
3SD,5,After Flood,Cool,Closed,Corvid,1,0
3SD,5,After Flood,Cool,Closed,Corvid,2,0
3SD,5,After Flood,Cool,Closed,Corvid,1,0
3SD,5,After Flood,Cool,Closed,Corvid,1,1
3SD,5,After Flood,Cool,Closed,Corvid,1,0
3SD,5,After Flood,Cool,Closed,Corvid,1,0
3SD,5,After Flood,Cool,Closed,Corvid,1,0
3SD,5,After Flood,Cool,Closed,Corvid,1,0
3SD,5,After Flood,Cool,Closed,Corvid,2,15
3SD,5,After Flood,Cool,Closed,Corvid,1,6
3SD,5,After Flood,Cool,Closed,Corvid,2,6
3SD,5,After Flood,Cool,Closed,Corvid,1,4
3SD,5,After Flood,Cool,Closed,Corvid,1,0
3SD,5,After Flood,Cool,Closed,Corvid,2,0
3SD,5,After Flood,Cool,Closed,Corvid,1,0
3SD,5,After Flood,Cool,Closed,Corvid,2,0
3SD,5,After Flood,Cool,Closed,Corvid,2,6
3SD,5,After Flood,Cool,Closed,Corvid,2,0
3SD,5,After Flood,Cool,Closed,Corvid,1,0
3SD,5,After Flood,Cool,Closed,Corvid,1,0
3SD,5,After Flood,Cool,Closed,Corvid,1,0
3SD,5,After Flood,Cool,Closed,Corvid,2,16
3SD,5,After Flood,Cool,Closed,Corvid,1,0
3SD,5,After Flood,Cool,Closed,Corvid,2,2
3SD,5,After Flood,Cool,Closed,Corvid,2,2
3SD,5,After Flood,Cool,Closed,Corvid,2,6
3SD,5,After Flood,Cool,Closed,Corvid,2,0
3SD,5,After Flood,Cool,Closed,Corvid,1,1
3SD,5,After Flood,Cool,Closed,Corvid,2,0
3SD,5,After Flood,Cool,Closed,Corvid,2,0
3SD,5,After Flood,Cool,Closed,Corvid,1,0
3SD,5,After Flood,Cool,Closed,Corvid,2,8
3SD,5,After Flood,Cool,Closed,Corvid,1,0
3SD,5,After Flood,Cool,Closed,Corvid,1,0
3SD,5,After Flood,Cool,Closed,Corvid,2,7
3SD,5,After Flood,Cool,Closed,Corvid,2,3
3SD,5,After Flood,Cool,Closed,Corvid,2,1
3SD,5,After Flood,Cool,Closed,Corvid,1,0
3SD,5,After Flood,Cool,Closed,Corvid,1,0
3SD,5,After Flood,Cool,Closed,Corvid,2,0
3SD,5,After Flood,Cool,Closed,Corvid,1,3
3SD,5,After Flood,Cool,Closed,Corvid,1,0
3SD,5,After Flood,Cool,Closed,Corvid,2,11
3SD,5,After Flood,Cool,Closed,Corvid,2,11
3SD,5,After Flood,Cool,Closed,Corvid,2,0
3SD,5,After Flood,Cool,Closed,Corvid,2,0
3SD,5,After Flood,Cool,Closed,Corvid,2,2
3SD,5,After Flood,Cool,Closed,Corvid,2,0
3SD,5,After Flood,Cool,Closed,Corvid,1,0
3SD,5,After Flood,Cool,Closed,Corvid,2,7
3SD,5,After Flood,Cool,Closed,Corvid,1,0
3SD,5,After Flood,Cool,Closed,Corvid,2,17
3SD,5,After Flood,Cool,Closed,Corvid,1,0
3SD,5,After Flood,Cool,Closed,Corvid,1,0
3SD,5,After Flood,Cool,Closed,Corvid,2,0
3SD,5,After Flood,Cool,Closed,Corvid,2,2
3SD,5,After Flood,Cool,Closed,Corvid,1,0
3SD,5,After Flood,Cool,Closed,Corvid,2,8
3SD,5,After Flood,Cool,Closed,Corvid,2,0
